batch_size,best_epoch,best_valid_acc,char_emb_dim,commit,corpus,datetime,decay_every,dev_data_proportion,dropout,embeddings,epochs,force_reload,grad_clipping,hash,host_name,id,learning_rate,learning_rate_decay,log_interval,lstm_hidden_size,mismatched_dev,model,model_hash,model_name,no_cuda,optim,pooling_method,save_attention,save_model,seed,server_name,start_decay_at,train_data_proportion,update_learning_rate,update_learning_rate_nie,word_char_aggregation_method,word_encoding_method,write_mode,CR,MPQA,MR,SICKEntailment,SICKRelatedness,SST2,SST5,STS16_pearson,STS16_spearman,STSBenchmark,SUBJ,TREC
64,13,0.7116,50,e72c583fefcca5fa8d68111663566da43f2ac309,multinli,2018-04-24 8:12:27,2,1,0.1,glove,20,False,5,025b3dddbae7fe20621ce6fd0d88b2780ece9122,,29,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,520,cosmos,2,1,True,False,scalar_gate,char_lstm,BOTH,83.97,89.24,79.35,84.86,0.8578731,83.36,44.66,0.6522199,0.6660542,0.7205221,91.47,89.80
64,13,0.7099,50,a6113eb1eefe1bb4db941671b360af12e82b533c,multinli,2018-04-20 14:39:03,2,1,0.1,glove,20,False,5,26257a4552477d70314be671b29bf3a2990f33ea,,22,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,411,cosmos,2,1,True,False,vector_gate,char_lstm,BOTH,83.68,89.10,79.11,84.07,0.8649937,84.07,45.84,0.6575258,0.6747172,0.7401663,91.66,88.60
64,6,0.8514,50,f420f1bd434647a5daa799b1ff2835addbea1b32,snli,2018-04-12 14:24:44,2,1,0.1,glove,30,False,5,0dd58927708a4f43c54287a059d5420c033e82e0,,15,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,101,tansy,2,1,True,False,vector_gate,char_lstm,BOTH,80.71,84.64,73.61,86.12,0.8839588,77.54,41.67,0.6096640,0.6352335,0.7174345,90.39,84.00
64,12,0.7049,50,a87a361212d6aba007a467ed1452390a7aaf6697,multinli,2018-04-23 9:24:18,2,1,0.1,glove,20,False,5,17c2a08931f10b6ac3610a2ec7fc94c5a2f40e58,,27,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,501,cosmos,2,1,True,False,,embed,BOTH,84.11,89.08,78.26,83.80,0.8644267,83.80,46.24,0.6587778,0.6734485,0.7197793,92.11,88.00
64,9,0.7130,50,a87a361212d6aba007a467ed1452390a7aaf6697,multinli,2018-04-23 9:26:24,2,1,0.1,glove,20,False,5,1e077fd34de9cbc14bcab7b55af79d6cf3aa326b,,16,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,505,selene,2,1,True,False,,embed,BOTH,83.95,89.14,79.34,84.45,0.8650465,84.24,45.61,0.6509570,0.6656260,0.7196372,91.51,89.80
64,19,0.7079,50,2e9b0ead870d4118966e657242f597399687ba2e,multinli,2018-04-26 15:46:27,2,1,0.1,glove,20,False,5,1e8b68dbf12d9ac091ba8b94d7d452af5ae3f629,,28,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,522,tansy,2,1,True,False,vector_gate,char_lstm,BOTH,83.87,88.89,78.68,84.78,0.8600233,84.02,46.79,0.6510604,0.6671021,0.7258804,91.71,88.80
64,15,0.7091,50,bc3380ffb43154c270b7759922d9c7c7124925a6,multinli,2018-04-16 11:33:25,2,1,0.1,glove,20,False,5,60f61422eb7ebd5b0749bee57c90f6971fe86da9,,10,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,201,selene,2,1,True,False,vector_gate,char_lstm,BOTH,83.44,89.06,79.34,85.20,0.8645650,84.07,46.20,0.6516620,0.6667527,0.7284279,91.49,88.60
64,6,0.8544,50,1920beb0553c20362f156cd80ee4e7aeadb17153,snli,2018-04-11 14:36:21,2,1,0.1,glove,10,False,5,de336296d3f01eab914c18a4cfeedafff1c4d171,,10,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,100,tansy,2,1,True,False,,embed,BOTH,80.82,84.58,74.33,86.38,0.8879688,77.65,43.17,0.5980920,0.6201091,0.7141965,90.40,86.00
64,15,0.7062,50,a6113eb1eefe1bb4db941671b360af12e82b533c,multinli,2018-04-19 17:02:14,2,1,0.1,glove,20,False,5,619cbc386f09a51bd561c54cf66f6b8e1fd368e1,,20,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,406,cosmos,2,1,True,False,vector_gate,char_lstm,BOTH,82.73,89.29,79.24,85.22,0.8627973,82.59,46.74,0.6622432,0.6787680,0.7258831,91.34,91.00
64,6,0.8515,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-16 11:15:54,2,1,0.1,glove,20,False,5,2f307dd8c7c7ffbb3a0a8a17326ec69be7a11497,,7,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,401,cosmos,2,1,True,False,scalar_gate,char_lstm,BOTH,80.53,84.59,74.24,86.14,0.8869008,79.30,41.81,0.6085077,0.6295059,0.7143830,90.33,85.80
64,6,0.8535,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-13 10:02:49,2,1,0.1,glove,20,False,5,30793b6f8ea817a2776ad1f3ebe14fb06bd2a5c6,,3,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,400,cosmos,2,1,True,False,scalar_gate,char_lstm,BOTH,81.17,84.43,74.42,86.54,0.8854693,78.75,41.54,0.6061852,0.6274233,0.7085193,90.24,86.40
64,8,0.7075,50,a87a361212d6aba007a467ed1452390a7aaf6697,multinli,2018-04-23 9:23:48,2,1,0.1,glove,20,False,5,3420d13b07bc9b64d2cd47949e677bcca5a43015,,26,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,500,cosmos,2,1,True,False,,embed,BOTH,83.50,89.05,78.78,85.31,0.8615388,84.90,44.43,0.6666269,0.6815452,0.7198599,91.63,88.20
64,5,0.8521,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-13 8:59:47,2,1,0.1,glove,20,False,5,3535ce26f818581996396e62ee3109eec8a987a6,,17,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,311,tansy,2,1,True,False,vector_gate,char_lstm,BOTH,80.74,84.77,74.36,86.52,0.8822065,79.02,42.31,0.6100591,0.6327279,0.7177781,90.12,87.60
64,6,0.8567,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-13 8:59:22,2,1,0.1,glove,20,False,5,38ff2568f3a257b00a8f59d20cd6179b721b1f3f,,16,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,310,tansy,2,1,True,False,cat,char_lstm,BOTH,79.66,84.72,74.19,86.32,0.8842945,78.31,41.76,0.5983980,0.6223435,0.7201362,90.34,86.60
64,11,0.7102,50,e72c583fefcca5fa8d68111663566da43f2ac309,multinli,2018-04-24 15:47:24,2,1,0.1,glove,20,False,5,39f5ea63825df62c8c5278345773ec48d6d5545d,,17,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,530,selene,2,1,True,False,scalar_gate,char_lstm,BOTH,83.50,88.88,79.41,84.92,0.8644834,83.47,44.39,0.6450537,0.6580592,0.7147673,91.36,88.20
64,12,0.7041,50,bc3380ffb43154c270b7759922d9c7c7124925a6,multinli,2018-04-16 11:27:13,2,1,0.1,glove,20,False,5,b232bdbef390d3f6b943b3f9bc73389acb870f4f,,9,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,200,selene,2,1,True,False,vector_gate,char_lstm,BOTH,83.52,89.30,78.45,84.72,0.8648181,83.31,45.02,0.6569983,0.6731646,0.7207945,91.43,89.80
64,7,0.8512,50,1920beb0553c20362f156cd80ee4e7aeadb17153,snli,2018-04-12 8:40:35,2,1,0.1,glove,10,False,5,3c9863ac4c07f2e52a68bc3ae794cee56d008adc,,12,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,101,tansy,2,1,True,False,,embed,BOTH,79.58,84.44,73.63,86.75,0.8860459,78.75,42.53,0.6024922,0.6269358,0.7040338,90.47,86.80
64,8,0.7021,50,a6113eb1eefe1bb4db941671b360af12e82b533c,multinli,2018-04-20 14:38:06,2,1,0.1,glove,20,False,5,bf6c5bf0a2a4aa6c0cfa435ff3fdd47a35f1207b,,21,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,410,cosmos,2,1,True,False,vector_gate,char_lstm,BOTH,83.23,88.96,79.40,84.76,0.8651404,84.79,46.61,0.6621390,0.6793753,0.7264239,91.21,90.20
64,12,0.7122,50,e72c583fefcca5fa8d68111663566da43f2ac309,multinli,2018-04-24 15:47:38,2,1,0.1,glove,20,False,5,40ed5dee4596f87e0409d2ed2d5cc4017b63af18,,18,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,531,selene,2,1,True,False,scalar_gate,char_lstm,BOTH,84.27,89.11,78.78,84.64,0.8648806,84.02,44.84,0.6541428,0.6677643,0.7194991,91.84,89.00
64,11,0.7087,50,2e9b0ead870d4118966e657242f597399687ba2e,multinli,2018-04-26 15:45:20,2,1,0.1,glove,20,False,5,449b846298c8059b093090f6e29f477bda3ccc19,,26,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,520,tansy,2,1,True,False,vector_gate,char_lstm,BOTH,83.42,89.26,78.84,84.84,0.8685506,82.76,45.07,0.6461442,0.6637474,0.7251684,91.60,88.60
64,6,0.8529,50,1920beb0553c20362f156cd80ee4e7aeadb17153,snli,2018-04-11 16:02:42,2,1,0.1,glove,10,False,5,49141731063e53eee5917ead353520ad4dcddc53,,3,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,200,selene,2,1,True,False,,embed,BOTH,80.69,84.52,74.03,85.93,0.8861005,79.57,42.35,0.5963876,0.6217805,0.7130071,90.73,88.00
64,6,0.8509,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-16 11:15:59,2,1,0.1,glove,20,False,5,509c6d2c40cd4b7477bfafab9faa09569d4545c5,,8,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,401,cosmos,2,1,True,False,vector_gate,char_lstm,BOTH,80.50,84.67,74.57,86.34,0.8823272,78.69,41.54,0.6090063,0.6294055,0.7219697,89.80,84.00
64,16,0.7078,50,bc3380ffb43154c270b7759922d9c7c7124925a6,multinli,2018-04-16 11:28:42,2,1,0.1,glove,20,False,5,57cf669cecd211ef9cf9315c4f998e7f2289edf7,,9,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,100,gaia,2,1,True,False,scalar_gate,char_lstm,BOTH,83.68,89.30,79.41,85.53,0.8657076,83.69,45.25,0.6486575,0.6631480,0.7191526,91.76,87.60
64,9,0.8504,50,913b907ca9055a12cc61b2da33882c0b08c11427,snli,2018-04-12 10:49:30,2,1,0.1,glove,10,False,5,583218a55296f07d48b01fe3bd3292f19ace807e,,6,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,101,gaia,2,1,True,False,cat,char_lstm,BOTH,80.34,84.67,74.48,86.34,0.8842007,79.19,41.40,0.6034894,0.6274004,0.7122660,90.59,85.00
64,5,0.8499,50,6e887e9a2b19a5b08ba291193701c4b1e5943089,snli,2018-04-10 15:33:18,2,1,0.1,glove,10,False,5,5d27f5afdc21b4b599d3d0fe36d699eb7dda55ae,,7,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,42,tansy,2,1,True,False,scalar_gate,char_lstm,BOTH,80.61,84.85,74.64,86.48,0.8861295,78.20,41.90,0.5948806,0.6211479,0.7132872,90.02,87.20
64,12,0.7064,50,bc3380ffb43154c270b7759922d9c7c7124925a6,multinli,2018-04-17 11:42:48,2,1,0.1,glove,20,False,5,d7aa786ec867423d2b0ad46e42394bbe27888caa,,12,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,400,cosmos,2,1,True,False,vector_gate,char_lstm,BOTH,83.60,88.82,79.04,85.61,0.8655348,84.40,45.66,0.6570483,0.6726845,0.7304714,91.76,89.40
64,8,0.7058,50,bc3380ffb43154c270b7759922d9c7c7124925a6,multinli,2018-04-18 8:56:05,2,1,0.1,glove,20,False,5,dfec1a4a53c80d835daa1eae1215a4aab8f410b0,,16,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,402,cosmos,2,1,True,False,vector_gate,char_lstm,BOTH,83.97,88.83,79.36,84.17,0.8673989,83.86,45.07,0.6551842,0.6726268,0.7249347,91.95,88.80
64,12,0.7114,50,9161b83d1057400c249c6fb8a1ca5595e1e266e7,multinli,2018-05-01 16:53:48,2,1,0.1,glove,20,False,5,65859177dc8ba06305e21cbffec10abc3a4be20d,,31,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,522,tansy,2,1,True,False,cat,char_lstm,BOTH,83.71,89.02,78.23,85.16,0.8626312,83.86,45.20,0.6593962,0.6736927,0.7252750,91.35,89.60
64,6,0.8487,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-13 8:28:03,2,1,0.1,glove,20,False,5,65c73f16c3c5e5708f7256182a0d3770c5d48bca,,8,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,202,selene,2,1,True,False,vector_gate,char_lstm,BOTH,79.50,84.81,74.53,83.05,0.8803974,79.13,43.08,0.6086578,0.6332664,0.7159831,89.73,86.20
64,11,0.7058,50,9161b83d1057400c249c6fb8a1ca5595e1e266e7,multinli,2018-05-01 16:55:44,2,1,0.1,glove,20,False,5,67adc54a556f81bb31ee95cf81e8096efaf023b9,,22,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,531,selene,2,1,True,False,cat,char_lstm,BOTH,84.32,89.26,79.15,84.78,0.8646076,83.42,46.06,0.6603675,0.6755559,0.7160789,91.24,90.20
64,11,0.8537,50,bc3380ffb43154c270b7759922d9c7c7124925a6,snli,2018-04-13 8:27:56,2,1,0.1,glove,20,False,5,6bff817a9186dcb7b8bdc85386ffc03698fdbe42,,7,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,203,selene,2,1,True,False,vector_gate,char_lstm,BOTH,81.11,84.53,74.53,86.18,0.8853485,79.19,42.26,0.6099312,0.6347457,0.7233663,89.72,86.80
64,5,0.8514,50,1920beb0553c20362f156cd80ee4e7aeadb17153,snli,2018-04-12 8:40:47,2,1,0.1,glove,10,False,5,7b512dc6e991ff31051d564ab48a16dc0c775aea,,13,0.1,1,200,2048,False,infersent,,Baseline,False,sgd,max,False,True,101,tansy,2,1,True,False,scalar_gate,char_lstm,BOTH,80.45,84.50,74.70,86.06,0.8866689,80.12,41.31,0.6003442,0.6208779,0.7055476,90.07,86.20
64,14,0.7142,50,a87a361212d6aba007a467ed1452390a7aaf6697,multinli,2018-04-23 9:26:09,2,1,0.1,glove,20,False,5,7c06d85616fd8c148bc84b428c2079e2c8417863,,15,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,504,selene,2,1,True,False,,embed,BOTH,83.44,89.17,79.46,84.11,0.8616619,83.86,47.06,0.6664171,0.6806883,0.7069315,91.71,90.60
64,12,0.7118,50,e72c583fefcca5fa8d68111663566da43f2ac309,multinli,2018-04-24 8:13:28,2,1,0.1,glove,20,False,5,7ceef88c55d92a80993e9cd40f6bf3d58db4e55f,,24,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,522,tansy,2,1,True,False,scalar_gate,char_lstm,BOTH,83.42,89.07,78.90,85.18,0.8634319,83.14,45.11,0.6427461,0.6566275,0.7234810,91.86,90.00
64,9,0.7104,50,a87a361212d6aba007a467ed1452390a7aaf6697,multinli,2018-04-23 9:24:43,2,1,0.1,glove,20,False,5,804d50cc59a2b19d64c072cfbf71dc4d56a80383,,28,0.1,1,200,2048,True,infersent,,Baseline,False,sgd,max,False,True,503,cosmos,2,1,True,False,,embed,BOTH,84.13,89.05,79.37,85.00,0.8648377,83.36,46.02,0.6626897,0.6764568,0.7157536,91.78,90.00
